Year,Units,Country,Region,Organic land category,GeoCode,Value
2003,Hectares (000s),England,West Midlands,In Conversion,E12000005,3.6958311
2004,Hectares (000s),England,West Midlands,In Conversion,E12000005,2.373817
2005,Hectares (000s),England,West Midlands,In Conversion,E12000005,3.2178286
2006,Hectares (000s),England,West Midlands,In Conversion,E12000005,3.974098
2007,Hectares (000s),England,West Midlands,In Conversion,E12000005,5.7214971
2008,Hectares (000s),England,West Midlands,In Conversion,E12000005,8.193512
2009,Hectares (000s),England,West Midlands,In Conversion,E12000005,5.69418999999999
2010,Hectares (000s),England,West Midlands,In Conversion,E12000005,2.13022
2011,Hectares (000s),England,West Midlands,In Conversion,E12000005,1.75313499999999
2012,Hectares (000s),England,West Midlands,In Conversion,E12000005,1.3726
2013,Hectares (000s),England,West Midlands,In Conversion,E12000005,0.797306
2014,Hectares (000s),England,West Midlands,In Conversion,E12000005,1.151366
2015,Hectares (000s),England,West Midlands,In Conversion,E12000005,1.01573
2016,Hectares (000s),England,West Midlands,In Conversion,E12000005,1.99014
2002,Hectares (000s),England,Eastern,,,11.8934579
2003,Hectares (000s),England,Eastern,,,12.6456029999999
2004,Hectares (000s),England,Eastern,,,12.7343258999999
2005,Hectares (000s),England,Eastern,,,14.4310572051832
2006,Hectares (000s),England,Eastern,,,14.4150369999999
2007,Hectares (000s),England,Eastern,,,17.9603725
2008,Hectares (000s),England,Eastern,,,18.016434
2009,Hectares (000s),England,Eastern,,,18.3793907
2010,Hectares (000s),England,Eastern,,,18.7192467
2011,Hectares (000s),England,Eastern,,,16.7480166999999
2012,Hectares (000s),England,Eastern,,,14.8395657
2013,Hectares (000s),England,Eastern,,,14.8734604999999
2014,Hectares (000s),England,Eastern,,,14.3081757
2015,Hectares (000s),England,Eastern,,,14.6911952
2016,Hectares (000s),England,Eastern,,,14.773784
2002,Hectares (000s),England,Eastern,Fully Organic,,7.7532249
2003,Hectares (000s),England,Eastern,Fully Organic,,9.66923099999999
2004,Hectares (000s),England,Eastern,Fully Organic,,10.3186568999999
2005,Hectares (000s),England,Eastern,Fully Organic,,11.7822352051832
2006,Hectares (000s),England,Eastern,Fully Organic,,10.785106
2007,Hectares (000s),England,Eastern,Fully Organic,,12.6977955
2008,Hectares (000s),England,Eastern,Fully Organic,,13.219432
2009,Hectares (000s),England,Eastern,Fully Organic,,14.2482347
2010,Hectares (000s),England,Eastern,Fully Organic,,17.2770036999999
2011,Hectares (000s),England,Eastern,Fully Organic,,15.7808036999999
2012,Hectares (000s),England,Eastern,Fully Organic,,14.1065257
2013,Hectares (000s),England,Eastern,Fully Organic,,14.1446204999999
2014,Hectares (000s),England,Eastern,Fully Organic,,13.7767657
2015,Hectares (000s),England,Eastern,Fully Organic,,13.7166732
2016,Hectares (000s),England,Eastern,Fully Organic,,13.4887315
2002,Hectares (000s),England,Eastern,In Conversion,,4.140233
2003,Hectares (000s),England,Eastern,In Conversion,,2.97637199999999
2004,Hectares (000s),England,Eastern,In Conversion,,2.415669
2005,Hectares (000s),England,Eastern,In Conversion,,2.648822
2006,Hectares (000s),England,Eastern,In Conversion,,3.62993099999999
2007,Hectares (000s),England,Eastern,In Conversion,,5.26257699999999
2008,Hectares (000s),England,Eastern,In Conversion,,4.797002
2009,Hectares (000s),England,Eastern,In Conversion,,4.13115599999999
2010,Hectares (000s),England,Eastern,In Conversion,,1.44224299999999
2011,Hectares (000s),England,Eastern,In Conversion,,0.967213
2012,Hectares (000s),England,Eastern,In Conversion,,0.733039999999999
2013,Hectares (000s),England,Eastern,In Conversion,,0.72884
2014,Hectares (000s),England,Eastern,In Conversion,,0.531409999999999
2015,Hectares (000s),England,Eastern,In Conversion,,0.974522
2016,Hectares (000s),England,Eastern,In Conversion,,1.28505249999999
2002,Hectares (000s),England,South West,,E12000009,96.0585772999998
2003,Hectares (000s),England,South West,,E12000009,97.0938025799996
2004,Hectares (000s),England,South West,,E12000009,99.5889047
2005,Hectares (000s),England,South West,,E12000009,115.987632199999
2006,Hectares (000s),England,South West,,E12000009,125.002643899999
2007,Hectares (000s),England,South West,,E12000009,57.1378912499998
2008,Hectares (000s),England,South West,,E12000009,57.60462
2009,Hectares (000s),England,South West,,E12000009,58.91142226
2010,Hectares (000s),England,South West,,E12000009,58.41051125
2011,Hectares (000s),England,South West,,E12000009,55.10565605
2012,Hectares (000s),England,South West,,E12000009,49.60448795
2013,Hectares (000s),England,South West,,E12000009,51.050747
2014,Hectares (000s),England,South West,,E12000009,47.4805666999999
2015,Hectares (000s),England,South West,,E12000009,45.6837011
2016,Hectares (000s),England,South West,,E12000009,43.8061339999998
2002,Hectares (000s),England,South West,Fully Organic,E12000009,78.0823222999998
2003,Hectares (000s),England,South West,Fully Organic,E12000009,86.2473714999996
2004,Hectares (000s),England,South West,Fully Organic,E12000009,90.5003837
2005,Hectares (000s),England,South West,Fully Organic,E12000009,94.0084956999996
2006,Hectares (000s),England,South West,Fully Organic,E12000009,93.4151323999997
2007,Hectares (000s),England,South West,Fully Organic,E12000009,42.5033815499999
2008,Hectares (000s),England,South West,Fully Organic,E12000009,47.20924
2009,Hectares (000s),England,South West,Fully Organic,E12000009,51.63268825
2010,Hectares (000s),England,South West,Fully Organic,E12000009,54.08629125
2011,Hectares (000s),England,South West,Fully Organic,E12000009,51.43012505
2012,Hectares (000s),England,South West,Fully Organic,E12000009,46.50063965
2013,Hectares (000s),England,South West,Fully Organic,E12000009,48.0734285
2014,Hectares (000s),England,South West,Fully Organic,E12000009,45.6172294999999
2015,Hectares (000s),England,South West,Fully Organic,E12000009,45.00632635
2016,Hectares (000s),England,South West,Fully Organic,E12000009,42.3875872499998
2002,Hectares (000s),England,South West,In Conversion,E12000009,17.976255
2003,Hectares (000s),England,South West,In Conversion,E12000009,10.8464310799999
2004,Hectares (000s),England,South West,In Conversion,E12000009,9.088521
2005,Hectares (000s),England,South West,In Conversion,E12000009,21.9791365
2006,Hectares (000s),England,South West,In Conversion,E12000009,31.5875114999999
2007,Hectares (000s),England,South West,In Conversion,E12000009,14.6345096999999
2008,Hectares (000s),England,South West,In Conversion,E12000009,10.39538
2009,Hectares (000s),England,South West,In Conversion,E12000009,7.27873401
2010,Hectares (000s),England,South West,In Conversion,E12000009,4.32422
2011,Hectares (000s),England,South West,In Conversion,E12000009,3.675531
2012,Hectares (000s),England,South West,In Conversion,E12000009,3.1038483
2013,Hectares (000s),England,South West,In Conversion,E12000009,2.9773185
2014,Hectares (000s),England,South West,In Conversion,E12000009,1.86333719999999
2015,Hectares (000s),England,South West,In Conversion,E12000009,0.67737475
2016,Hectares (000s),England,South West,In Conversion,E12000009,1.41854675
2002,Hectares (000s),England,South East (inc. London),,,39.8482749499999
2003,Hectares (000s),England,South East (inc. London),,,40.8187858500001
2004,Hectares (000s),England,South East (inc. London),,,40.3233818500001
2005,Hectares (000s),England,South East (inc. London),,,45.972863147592
2006,Hectares (000s),England,South East (inc. London),,,48.97930365
2007,Hectares (000s),England,South East (inc. London),,,154.469500199999
2008,Hectares (000s),England,South East (inc. London),,,170.4875365
2009,Hectares (000s),England,South East (inc. London),,,175.1113826
2010,Hectares (000s),England,South East (inc. London),,,188.2459576
2011,Hectares (000s),England,South East (inc. London),,,170.7015226
2012,Hectares (000s),England,South East (inc. London),,,154.4485172
2013,Hectares (000s),England,South East (inc. London),,,150.432863699999
2014,Hectares (000s),England,South East (inc. London),,,149.234835699999
2015,Hectares (000s),England,South East (inc. London),,,147.1033608
2016,Hectares (000s),England,South East (inc. London),,,145.1439247
2002,Hectares (000s),England,South East (inc. London),Fully Organic,,28.3475159499999
2003,Hectares (000s),England,South East (inc. London),Fully Organic,,34.2883521500001
2004,Hectares (000s),England,South East (inc. London),Fully Organic,,34.9455016500001
2005,Hectares (000s),England,South East (inc. London),Fully Organic,,35.249693847592
2006,Hectares (000s),England,South East (inc. London),Fully Organic,,35.79782835
2007,Hectares (000s),England,South East (inc. London),Fully Organic,,106.2784944
2008,Hectares (000s),England,South East (inc. London),Fully Organic,,123.9386265
2009,Hectares (000s),England,South East (inc. London),Fully Organic,,140.3682866
2010,Hectares (000s),England,South East (inc. London),Fully Organic,,174.6161236
2011,Hectares (000s),England,South East (inc. London),Fully Organic,,157.1575466
2012,Hectares (000s),England,South East (inc. London),Fully Organic,,145.5081686
2013,Hectares (000s),England,South East (inc. London),Fully Organic,,144.155281699999
2014,Hectares (000s),England,South East (inc. London),Fully Organic,,143.146590699999
2015,Hectares (000s),England,South East (inc. London),Fully Organic,,141.6123698
2016,Hectares (000s),England,South East (inc. London),Fully Organic,,137.9672372
2002,Hectares (000s),England,South East (inc. London),In Conversion,,11.500759
2003,Hectares (000s),England,South East (inc. London),In Conversion,,6.5304337
2004,Hectares (000s),England,South East (inc. London),In Conversion,,5.37788019999999
2005,Hectares (000s),England,South East (inc. London),In Conversion,,10.7231693
2006,Hectares (000s),England,South East (inc. London),In Conversion,,13.1814752999999
2007,Hectares (000s),England,South East (inc. London),In Conversion,,48.1910057999998
2008,Hectares (000s),England,South East (inc. London),In Conversion,,46.5489100000001
2009,Hectares (000s),England,South East (inc. London),In Conversion,,34.743096
2010,Hectares (000s),England,South East (inc. London),In Conversion,,13.629834
2011,Hectares (000s),England,South East (inc. London),In Conversion,,13.5439759999999
2012,Hectares (000s),England,South East (inc. London),In Conversion,,8.94034859999999
2013,Hectares (000s),England,South East (inc. London),In Conversion,,6.27758199999999
2014,Hectares (000s),England,South East (inc. London),In Conversion,,6.08824499999999
2015,Hectares (000s),England,South East (inc. London),In Conversion,,5.490991
2016,Hectares (000s),England,South East (inc. London),In Conversion,,7.17668749999998
2002,Hectares (000s),Wales,,,W92000004,55.1012095481999
2003,Hectares (000s),Wales,,,W92000004,58.2800185952001
2004,Hectares (000s),Wales,,,W92000004,64.2076483792001
2005,Hectares (000s),Wales,,,W92000004,70.8316639791998
2006,Hectares (000s),Wales,,,W92000004,78.9728482581998
2007,Hectares (000s),Wales,,,W92000004,96.0349356481995
2008,Hectares (000s),Wales,,,W92000004,124.617159999999
2009,Hectares (000s),Wales,,,W92000004,125.366183148199
2010,Hectares (000s),Wales,,,W92000004,122.868279199999
2011,Hectares (000s),Wales,,,W92000004,122.749014199999
2012,Hectares (000s),Wales,,,W92000004,119.9024122
2013,Hectares (000s),Wales,,,W92000004,101.8953572
2014,Hectares (000s),Wales,,,W92000004,95.6852231999998
2015,Hectares (000s),Wales,,,W92000004,82.9302201999994
2016,Hectares (000s),Wales,,,W92000004,81.4575981999996
2002,Hectares (000s),Wales,,Fully Organic,W92000004,41.3810931481999
2003,Hectares (000s),Wales,,Fully Organic,W92000004,50.2401861792001
2004,Hectares (000s),Wales,,Fully Organic,W92000004,55.5644083792001
2005,Hectares (000s),Wales,,Fully Organic,W92000004,58.0238761791998
2006,Hectares (000s),Wales,,Fully Organic,W92000004,63.5461734581999
2007,Hectares (000s),Wales,,Fully Organic,W92000004,65.1269770481996
2008,Hectares (000s),Wales,,Fully Organic,W92000004,75.1425484999995
2009,Hectares (000s),Wales,,Fully Organic,W92000004,88.5662751481997
2010,Hectares (000s),Wales,,Fully Organic,W92000004,118.838724199999
2011,Hectares (000s),Wales,,Fully Organic,W92000004,120.360269199999
2012,Hectares (000s),Wales,,Fully Organic,W92000004,118.4312412
2013,Hectares (000s),Wales,,Fully Organic,W92000004,100.0381182
2014,Hectares (000s),Wales,,Fully Organic,W92000004,91.6100941999998
2015,Hectares (000s),Wales,,Fully Organic,W92000004,73.5339051999994
2016,Hectares (000s),Wales,,Fully Organic,W92000004,73.6738411999995
2002,Hectares (000s),Wales,,In Conversion,W92000004,13.7201163999999
2003,Hectares (000s),Wales,,In Conversion,W92000004,8.039832416
2004,Hectares (000s),Wales,,In Conversion,W92000004,8.64323999999998
2005,Hectares (000s),Wales,,In Conversion,W92000004,12.8077877999999
2006,Hectares (000s),Wales,,In Conversion,W92000004,15.4266747999999
2007,Hectares (000s),Wales,,In Conversion,W92000004,30.9079585999999
2008,Hectares (000s),Wales,,In Conversion,W92000004,49.4746114999998
2009,Hectares (000s),Wales,,In Conversion,W92000004,36.799908
2010,Hectares (000s),Wales,,In Conversion,W92000004,4.029555
2011,Hectares (000s),Wales,,In Conversion,W92000004,2.388745
2012,Hectares (000s),Wales,,In Conversion,W92000004,1.471171
2013,Hectares (000s),Wales,,In Conversion,W92000004,1.857239
2014,Hectares (000s),Wales,,In Conversion,W92000004,4.075129
2015,Hectares (000s),Wales,,In Conversion,W92000004,9.39631499999998
2016,Hectares (000s),Wales,,In Conversion,W92000004,7.783757
2002,Hectares (000s),Scotland,,,S92000003,428.608384
2003,Hectares (000s),Scotland,,,S92000003,372.263047999999
2004,Hectares (000s),Scotland,,,S92000003,345.265935339663
2005,Hectares (000s),Scotland,,,S92000003,247.929703935762
2006,Hectares (000s),Scotland,,,S92000003,235.297525817379
2007,Hectares (000s),Scotland,,,S92000003,227.892228168538
2008,Hectares (000s),Scotland,,,S92000003,231.340739999999
2009,Hectares (000s),Scotland,,,S92000003,221.295352999999
2010,Hectares (000s),Scotland,,,S92000003,188.873582999999
2011,Hectares (000s),Scotland,,,S92000003,169.919669999999
2012,Hectares (000s),Scotland,,,S92000003,151.669605
2013,Hectares (000s),Scotland,,,S92000003,148.389344
2014,Hectares (000s),Scotland,,,S92000003,135.812084999999
2015,Hectares (000s),Scotland,,,S92000003,126.266578999999
2016,Hectares (000s),Scotland,,,S92000003,121.597696499999
2002,Hectares (000s),Scotland,,Fully Organic,S92000003,307.325384
2003,Hectares (000s),Scotland,,Fully Organic,S92000003,351.887768999999
2004,Hectares (000s),Scotland,,Fully Organic,S92000003,331.599505459724
2005,Hectares (000s),Scotland,,Fully Organic,S92000003,231.205831060479
2006,Hectares (000s),Scotland,,Fully Organic,S92000003,200.103366483013
2007,Hectares (000s),Scotland,,Fully Organic,S92000003,193.132808828915
2008,Hectares (000s),Scotland,,Fully Organic,S92000003,225.13666
2009,Hectares (000s),Scotland,,Fully Organic,S92000003,209.256412999999
2010,Hectares (000s),Scotland,,Fully Organic,S92000003,176.288092999999
2011,Hectares (000s),Scotland,,Fully Organic,S92000003,164.848359999999
2012,Hectares (000s),Scotland,,Fully Organic,S92000003,143.662434
2013,Hectares (000s),Scotland,,Fully Organic,S92000003,139.959003
2014,Hectares (000s),Scotland,,Fully Organic,S92000003,132.861064999999
2015,Hectares (000s),Scotland,,Fully Organic,S92000003,125.307298999999
2016,Hectares (000s),Scotland,,Fully Organic,S92000003,119.283697999999
2002,Hectares (000s),Scotland,,In Conversion,S92000003,121.282999999999
2003,Hectares (000s),Scotland,,In Conversion,S92000003,20.375279
2004,Hectares (000s),Scotland,,In Conversion,S92000003,13.6664298799394
2005,Hectares (000s),Scotland,,In Conversion,S92000003,16.7238728752826
2006,Hectares (000s),Scotland,,In Conversion,S92000003,35.1941593343659
2007,Hectares (000s),Scotland,,In Conversion,S92000003,34.759419339623
2008,Hectares (000s),Scotland,,In Conversion,S92000003,6.20408
2009,Hectares (000s),Scotland,,In Conversion,S92000003,12.0389399999999
2010,Hectares (000s),Scotland,,In Conversion,S92000003,12.58549
2011,Hectares (000s),Scotland,,In Conversion,S92000003,5.07130999999999
2012,Hectares (000s),Scotland,,In Conversion,S92000003,8.00717099999999
2013,Hectares (000s),Scotland,,In Conversion,S92000003,8.43034099999999
2014,Hectares (000s),Scotland,,In Conversion,S92000003,2.95102
2015,Hectares (000s),Scotland,,In Conversion,S92000003,0.95928
2016,Hectares (000s),Scotland,,In Conversion,S92000003,2.3139985
2002,Hectares (000s),Northern Ireland,,,N92000002,5.6292782
2003,Hectares (000s),Northern Ireland,,,N92000002,7.45223949999999
2004,Hectares (000s),Northern Ireland,,,N92000002,6.5743426
2005,Hectares (000s),Northern Ireland,,,N92000002,9.5125320158012
2006,Hectares (000s),Northern Ireland,,,N92000002,9.1265655
2007,Hectares (000s),Northern Ireland,,,N92000002,10.4877491999999
2008,Hectares (000s),Northern Ireland,,,N92000002,12.4903479999999
2009,Hectares (000s),Northern Ireland,,,N92000002,13.2843422
2010,Hectares (000s),Northern Ireland,,,N92000002,14.8421343
2011,Hectares (000s),Northern Ireland,,,N92000002,12.3344378
2012,Hectares (000s),Northern Ireland,,,N92000002,10.1426829999999
2013,Hectares (000s),Northern Ireland,,,N92000002,9.3963017
2014,Hectares (000s),Northern Ireland,,,N92000002,8.98026299999998
2015,Hectares (000s),Northern Ireland,,,N92000002,8.46244969999999
2016,Hectares (000s),Northern Ireland,,,N92000002,8.3333049
2002,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,4.1152782
2003,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,6.62747049999999
2004,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,4.9698976
2005,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,6.3167680158012
2006,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,5.1356025
2007,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,7.29945619999999
2008,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,10.1406579999999
2009,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,10.2696462
2010,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,10.4319843
2011,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,8.2984978
2012,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,6.57956999999999
2013,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,9.2852657
2014,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,8.79722269999998
2015,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,8.19834569999999
2016,Hectares (000s),Northern Ireland,,Fully Organic,N92000002,7.9909209
2002,Hectares (000s),Northern Ireland,,In Conversion,N92000002,1.514
2003,Hectares (000s),Northern Ireland,,In Conversion,N92000002,0.824768999999999
2004,Hectares (000s),Northern Ireland,,In Conversion,N92000002,1.604445
2005,Hectares (000s),Northern Ireland,,In Conversion,N92000002,3.195764
2006,Hectares (000s),Northern Ireland,,In Conversion,N92000002,3.990963
2007,Hectares (000s),Northern Ireland,,In Conversion,N92000002,3.188293
2008,Hectares (000s),Northern Ireland,,In Conversion,N92000002,2.34969
2009,Hectares (000s),Northern Ireland,,In Conversion,N92000002,3.01469599999999
2010,Hectares (000s),Northern Ireland,,In Conversion,N92000002,4.41015
2011,Hectares (000s),Northern Ireland,,In Conversion,N92000002,4.03594
2012,Hectares (000s),Northern Ireland,,In Conversion,N92000002,3.56311299999999
2013,Hectares (000s),Northern Ireland,,In Conversion,N92000002,0.111036
2014,Hectares (000s),Northern Ireland,,In Conversion,N92000002,0.1830403
2015,Hectares (000s),Northern Ireland,,In Conversion,N92000002,0.264104
2016,Hectares (000s),Northern Ireland,,In Conversion,N92000002,0.342384
