Year,Units,Crop category,Crop,Livestock,Geography,Timber category,Ownership,Value,Value
2015,Land use (000s hectares),Arable crops,Maize,,,,,186.8796,186.8796
2015,Land use (000s hectares),Horticultural crops,,,,,,174.12002,174.12002
2015,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,122.8854,122.8854
2015,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,25.8872,25.8872
2015,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,9.9514,9.9514
2015,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,12.7295,12.7295
2015,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,2.66652,2.66652
2015,Land use (000s hectares),Temporary grass under 5 years old,,,,,,1166.7413,1166.7413
2015,Land use (000s hectares),Permanent grassland,,,,,,9879.7012,9879.7012
2015,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,6078.4219,6078.4219
2015,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,3801.2793,3801.2793
2015,Land use (000s hectares),Common rough grazing,,,,,,1198.985,1198.985
2015,Land use (000s hectares),Other land on agricultural holdings,,,,,,1289.5075,1289.5075
2015,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,960.6074,960.6074
2015,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,9.156,9.156
2015,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,319.7441,319.7441
2016,Land use (000s hectares),,,,,,,18400.15619,18400.15619
2016,Land use (000s hectares),Arable crops,,,,,,4505.45803,4505.45803
2016,Land use (000s hectares),Arable crops,Wheat,,,,,1823.33613,1823.33613
2016,Land use (000s hectares),Arable crops,Barley,,,,,1122.40863,1122.40863
2016,Land use (000s hectares),Arable crops,Oats,,,,,140.89659,140.89659
2016,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,45.29833,45.29833
2016,Land use (000s hectares),Arable crops,Oilseed rape,,,,,579.16981,579.16981
2016,Land use (000s hectares),Arable crops,Linseed,,,,,27.281,27.281
2016,Land use (000s hectares),Arable crops,Potatoes,,,,,138.50241,138.50241
2016,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,85.947,85.947
2016,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,227.92042,227.92042
2016,Land use (000s hectares),Arable crops,Maize,,,,,193.79422,193.79422
2016,Land use (000s hectares),Horticultural crops,,,,,,161.94503,161.94503
2016,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,112.55423,112.55423
2016,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,25.1436,25.1436
2016,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,9.99073,9.99073
2016,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,11.50798,11.50798
2016,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,2.74849,2.74849
2016,Land use (000s hectares),Temporary grass under 5 years old,,,,,,1143.50957,1143.50957
2016,Land use (000s hectares),Permanent grassland,,,,,,10078.52721,10078.52721
2016,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,6117.74417,6117.74417
2016,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,3960.78304,3960.78304
2016,Land use (000s hectares),Common rough grazing,,,,,,1198.8018,1198.8018
2016,Land use (000s hectares),Other land on agricultural holdings,,,,,,1311.91456,1311.91456
2016,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,978.1988,978.1988
2016,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,10.301,10.301
2016,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,323.41476,323.41476
2009,Livestock (000s),,,Pigs,,,,4540.4384,4540.4384
2009,Livestock (000s),,,Sheep and lambs,,,,31445.39813,31445.39813
2009,Livestock (000s),,,Poultry,,,,152752.5335,152752.5335
2009,Livestock (000s),,,Goats,,,,81.85407,81.85407
2009,Livestock (000s),,,Farmed deer,,,,31.49289,31.49289
2009,Livestock (000s),,,Horses,,,,298.07479,298.07479
2010,Livestock (000s),,,Cattle and calves,,,,10169.828,10169.828
2010,Livestock (000s),,,Pigs,,,,4460.317,4460.317
2010,Livestock (000s),,,Sheep and lambs,,,,31084.338,31084.338
2010,Livestock (000s),,,Poultry,,,,163867.173,163867.173
2010,Livestock (000s),,,Goats,,,,92.951,92.951
2010,Livestock (000s),,,Farmed deer,,,,30.913,30.913
2010,Livestock (000s),,,Horses,,,,311.314,311.314
2011,Livestock (000s),,,Cattle and calves,,,,9988.302,9988.302
2011,Livestock (000s),,,Pigs,,,,4440.631,4440.631
2011,Livestock (000s),,,Sheep and lambs,,,,31633.968,31633.968
2011,Livestock (000s),,,Poultry,,,,162551.155,162551.155
2011,Livestock (000s),,,Goats,,,,94.245,94.245
2011,Livestock (000s),,,Farmed deer,,,,32.618,32.618
2011,Livestock (000s),,,Horses,,,,312.915,312.915
2012,Livestock (000s),,,Cattle and calves,,,,9951.824,9951.824
2012,Livestock (000s),,,Pigs,,,,4480.904,4480.904
2012,Livestock (000s),,,Sheep and lambs,,,,32214.916,32214.916
2012,Livestock (000s),,,Poultry,,,,160061.2,160061.2
2012,Livestock (000s),,,Goats,,,,97.801,97.801
2012,Livestock (000s),,,Farmed deer,,,,31.152,31.152
2012,Livestock (000s),,,Horses,,,,315.092,315.092
2013,Livestock (000s),,,Cattle and calves,,,,9843.542,9843.542
2013,Livestock (000s),,,Pigs,,,,4884.971,4884.971
2013,Livestock (000s),,,Sheep and lambs,,,,32856.476,32856.476
2013,Livestock (000s),,,Poultry,,,,162608.882,162608.882
2013,Livestock (000s),,,Goats,,,,97.643,97.643
2013,Livestock (000s),,,Farmed deer,,,,31.803,31.803
2013,Livestock (000s),,,Horses,,,,293.379,293.379
2014,Livestock (000s),,,Cattle and calves,,,,9837.142,9837.142
2014,Livestock (000s),,,Pigs,,,,4815.397,4815.397
2014,Livestock (000s),,,Sheep and lambs,,,,33743.346,33743.346
2014,Livestock (000s),,,Poultry,,,,169684.401,169684.401
2014,Livestock (000s),,,Goats,,,,100.081,100.081
2014,Livestock (000s),,,Farmed deer,,,,31.96,31.96
2014,Livestock (000s),,,Horses,,,,303.316,303.316
2015,Livestock (000s),,,Cattle and calves,,,,9918.569,9918.569
2015,Livestock (000s),,,Pigs,,,,4739.123,4739.123
2015,Livestock (000s),,,Sheep and lambs,,,,33336.5895,33336.5895
